日期,公司,收盘,开盘,高,低,交易量,涨跌幅
2023/3/27,BABA,86.12,87.13,88.22,85.5,18.18M,-0.90%
2023/3/24,BABA,86.9,85.87,88.11,85.63,20.35M,0.44%
2023/3/23,BABA,86.52,87.68,88.38,85.26,26.79M,3.43%
2023/3/22,BABA,83.65,84.84,85.39,83.51,21.08M,-0.06%
2023/3/21,BABA,83.7,82.46,84.09,82,16.44M,3.33%
2023/3/20,BABA,81,80.15,81.9,79.48,18.95M,-0.82%
2023/3/17,BABA,81.67,84,84.16,80.62,23.71M,-0.67%
2023/3/16,BABA,82.22,81.46,82.48,80.66,22.41M,0.87%
2023/3/15,BABA,81.51,81.55,82.54,80.15,20.86M,-2.79%
2023/3/14,BABA,83.85,82.86,83.91,82.16,19.05M,1.15%
2023/3/13,BABA,82.9,83.01,83.75,81.97,17.62M,-0.07%
2023/3/10,BABA,82.96,82.64,84.52,82.33,18.12M,-0.49%
2023/3/9,BABA,83.37,85.12,85.69,82.88,24.12M,-4.12%
2023/3/8,BABA,86.95,87.39,87.77,86.45,14.72M,-2.01%
2023/3/7,BABA,88.73,89.52,90.05,88.2,14.51M,-0.99%
2023/3/6,BABA,89.62,89.58,91.3,88.03,16.98M,-0.09%
2023/3/3,BABA,89.7,90.09,90.39,88.43,25.83M,-0.06%
2023/3/2,BABA,89.75,88.96,90.92,87.97,24.02M,-0.22%
2023/3/1,BABA,89.95,92.92,92.92,89.73,32.05M,2.46%
2023/2/28,BABA,87.79,88.46,89.34,87.27,24.60M,-1.64%
2023/3/27,JD,39.78,39.34,39.96,39.15,7.31M,-1.27%
2023/3/24,JD,40.29,39.92,40.84,39.85,7.35M,0.55%
2023/3/23,JD,40.07,40.3,40.89,39.63,11.04M,4.08%
2023/3/22,JD,38.5,39.5,39.87,38.5,8.27M,-2.63%
2023/3/21,JD,39.54,38.62,39.59,38.43,9.71M,2.28%
2023/3/20,JD,38.66,38,39.3,37.7,11.16M,-0.44%
2023/3/17,JD,38.83,39.48,39.67,38.57,11.48M,-2.41%
2023/3/16,JD,39.79,39.07,40.09,38.91,9.83M,1.14%
2023/3/15,JD,39.34,39.38,39.88,38.81,10.40M,-2.72%
2023/3/14,JD,40.44,39.98,40.81,39.46,10.78M,0.82%
2023/3/13,JD,40.11,39.68,40.84,39.04,13.14M,-0.89%
2023/3/10,JD,40.47,40.88,41.38,40.07,15.48M,-2.90%
2023/3/9,JD,41.68,44.51,44.79,41.31,37.10M,-11.28%
2023/3/8,JD,46.98,45.51,47.41,45.47,8.51M,0.88%
2023/3/7,JD,46.57,47.36,47.36,46.34,6.51M,-2.82%
2023/3/6,JD,47.92,47.67,48.72,47.23,7.17M,0.97%
2023/3/3,JD,47.46,47.36,48.22,47.32,7.87M,0.83%
2023/3/2,JD,47.07,45.62,47.15,45.4,7.90M,2.93%
2023/3/1,JD,45.73,46.54,46.77,45.3,9.24M,2.90%
2023/2/28,JD,44.44,44.28,45.11,43.97,6.44M,-0.67%
2023/3/27,BAIDU,149.5,156.9,157,147.4,15.52M,-3.17%
2023/3/24,BAIDU,154.4,148.5,159,148,25.84M,2.32%
2023/3/23,BAIDU,150.9,145.5,151.1,144.5,12.34M,2.79%
2023/3/22,BAIDU,146.8,147.9,149.8,145.8,8.86M,-0.88%
2023/3/21,BAIDU,148.1,146.2,149.3,143.5,13.13M,3.21%
2023/3/20,BAIDU,143.5,146.5,148,141.7,16.03M,0.91%
2023/3/17,BAIDU,142.2,135,146,134,32.59M,13.67%
2023/3/16,BAIDU,125.1,131.3,134.4,120.1,24.31M,-6.36%
2023/3/15,BAIDU,133.6,134.5,138.3,133,14.63M,3.57%
2023/3/14,BAIDU,129,132.3,134,128.5,8.23M,-3.73%
2023/3/13,BAIDU,134,131.5,136.7,129,11.66M,3.47%
2023/3/10,BAIDU,129.5,128.2,131.1,128,20.86M,-5.89%
2023/3/9,BAIDU,137.6,140,141,137.4,6.51M,-1.36%
2023/3/8,BAIDU,139.5,141.1,141.5,137.6,7.68M,-3.26%
2023/3/7,BAIDU,144.2,147.5,149.3,142.3,9.00M,-2.24%
2023/3/6,BAIDU,147.5,149.4,150,145.7,9.97M,-1.27%
2023/3/3,BAIDU,149.4,148.3,150.8,146.6,13.38M,5.29%
2023/3/2,BAIDU,141.9,141,142.6,139.4,16.49M,-2.14%
2023/3/1,BAIDU,145,135,146.9,135,17.88M,7.57%
2023/2/28,BAIDU,134.8,137,138.5,134,12.43M,0.60%

